,uri,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date
30,spotify:track:5ZWNnO9MyPfGrUHiGWHESB,0.844,0.722,1.0,0.0,0.264,0.011,0.0,0.105,0.67,146.976,173061.0,4.0,2022-07-30
31,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,0.79,0.67,1.0,1.0,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950.0,4.0,2022-07-30
32,spotify:track:63u4taM8CTklMQhrcV3via,0.492,0.713,8.0,1.0,0.434,0.135,0.0,0.171,0.272,150.723,298411.0,4.0,2022-07-30
33,spotify:track:5QvW5lK6mkfTegpAK9JOO7,0.642,0.787,5.0,0.0,0.17,0.0185,0.0,0.288,0.406,146.733,130897.0,4.0,2022-07-30
34,spotify:track:6JbrcjoMVBBNZllVOiHBcU,0.774,0.551,1.0,1.0,0.0854,0.0334,0.0,0.109,0.0858,137.932,160034.0,4.0,2022-07-30
35,spotify:track:0b7UwotRCrS7qBoLDjfvSY,0.824,0.583,1.0,1.0,0.147,0.00253,0.0,0.266,0.154,147.496,235501.0,4.0,2022-07-30
36,spotify:track:3EMp20j5E42MxfFbsEsIvD,0.71,0.522,11.0,1.0,0.36,0.615,0.0,0.11,0.37,96.448,309327.0,4.0,2022-07-30
37,spotify:track:7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0.0,1.0,0.153,0.038,0.0,0.113,0.377,93.923,185857.0,4.0,2022-07-30
38,spotify:track:06JvOZ39sK8D8SqiqfaxDU,0.712,0.861,5.0,0.0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,148571.0,4.0,2022-07-30
39,spotify:track:6EbVuwU7EnKeF2hdpViXCH,0.808,0.582,11.0,1.0,0.338,0.827,0.0,0.111,0.675,77.471,148817.0,4.0,2022-07-30
40,spotify:track:1HVVrtjLvEQx8oinUYI5Nv,0.465,0.546,5.0,0.0,0.295,0.077,0.0,0.314,0.186,97.886,235200.0,4.0,2022-07-30
41,spotify:track:3lzUeaCbcCDB5IXYfqWRlF,0.907,0.577,1.0,0.0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779.0,4.0,2022-07-30
42,spotify:track:1IzxkqDIsmiFxTjaNdsiqn,0.689,0.546,6.0,1.0,0.345,0.08,0.0,0.0706,0.768,140.924,184614.0,4.0,2022-07-30
43,spotify:track:5HN3ikspb1MOyJ0MMjn55I,0.779,0.508,1.0,1.0,0.349,0.00572,0.0,0.122,0.385,159.994,173987.0,4.0,2022-07-30
44,spotify:track:62tDpymKVSXEu0W3d4AMr9,0.821,0.897,1.0,1.0,0.129,0.091,3.44e-06,0.106,0.354,154.985,171827.0,4.0,2022-07-30
45,spotify:track:0LnS7aOdOdI1dNKZqdOLz4,0.833,0.652,11.0,1.0,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053.0,4.0,2022-07-30
46,spotify:track:3qKunud9sySc8qvQ3i84og,0.984,0.719,8.0,1.0,0.0893,0.0566,9.88e-05,0.517,0.437,118.015,146855.0,4.0,2022-07-30
47,spotify:track:6R8OyxlpbW1F00R2eJRiHk,0.734,0.698,2.0,1.0,0.0908,0.0271,0.0,0.355,0.338,140.948,237905.0,4.0,2022-07-30
48,spotify:track:4ue41gFbAjoU0P1EberJWm,0.971,0.851,11.0,0.0,0.269,0.0344,0.0,0.092,0.81,120.008,143325.0,4.0,2022-07-30
49,spotify:track:3S68RFe1lsdCdTMPIMJM3X,0.877,0.56,7.0,1.0,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136.0,4.0,2022-07-30
